file,category,modeled_instances,modeled_links,cad_material_label,manufacturing_status
Battery_6s18650_24V.stp,purchased_reference,1,base_link,"Unfilled epoxy resin","Battery envelope only; do not treat as a printed pack design"
Bearing_20_27_4.stp,purchased_reference,2,neck_pitch_link,"Forged stainless steel","Purchased bearing reference geometry"
Body_Frame.stp,robot_structure,1,base_link,ABS,"Manufacturing route unverified; may import as multiple bodies"
Control_Borad_AT32.stp,purchased_reference,1,base_link,"Polyester resin","Control-board envelope only; not PCB manufacturing data"
Head.stp,robot_structure,1,head_roll_link,"6061 alloy","Structural geometry; CAD label does not authorize FDM substitution"
Head_pitch.stp,robot_structure,1,head_pitch_link,ABS,"Manufacturing route unverified"
IMU_YB-MRA02.stp,purchased_reference,1,base_link,"Polyester resin","Surface-only IMU envelope; not a printable sensor"
Left_feet.stp,robot_structure,1,left_ankle_link,ABS,"Manufacturing route unverified"
Left_hip_roll.stp,robot_structure,1,left_hip_roll_link,ABS,"Manufacturing route unverified"
Left_knee.stp,robot_structure,1,left_knee_link,ABS,"Manufacturing route unverified"
Motor_HTDW3532.stp,purchased_reference,15,"distributed across robot","6061 alloy","Purchased motor/gearbox reference envelope"
Mouth.stp,robot_structure,1,mouth_link,ABS,"Manufacturing route unverified"
Right_feet.stp,robot_structure,1,right_ankle_link,ABS,"Manufacturing route unverified"
Right_hip_roll.stp,robot_structure,1,right_hip_roll_link,ABS,"Manufacturing route unverified"
Right_knee.stp,robot_structure,1,right_knee_link,ABS,"Manufacturing route unverified"
WMD1005.stp,robot_structure,3,"head_yaw_link; left_hip_yaw_link; right_hip_yaw_link",ABS,"Manufacturing route unverified"
WMD1007.stp,robot_structure,3,"left_hip_pitch_link; neck_pitch_link; right_hip_pitch_link",ABS,"Manufacturing route unverified"
WMD1008.stp,robot_structure,2,"left_hip_pitch_link; right_hip_pitch_link",ABS,"Manufacturing route unverified"
WMD1012.stp,robot_structure,1,neck_pitch_link,ABS,"Manufacturing route unverified"
WMD1018.stp,robot_structure,1,head_roll_link,ABS,"Manufacturing route unverified"
